req_id	object_id	field_name	layer	current_source_status	current_source_or_rule	formalization_judgement	note
A_REQ_002	A5_P0_AR_DRAFT	factor_date	meta	direct	price_snapshot_plus_latest_report	formalizable_now	联合有效日期可直接定义
A_REQ_002	A5_P0_AR_DRAFT	industry_name	meta	direct	industry_classification_input	formalizable_now	行业分类可直接接入
A_REQ_002	A5_P0_AR_DRAFT	revenue_current	raw_financial_inputs	direct	financial_statement_snapshot	formalizable_now	财报输入
A_REQ_002	A5_P0_AR_DRAFT	revenue_prior	raw_financial_inputs	direct	financial_statement_snapshot	formalizable_now	财报输入
A_REQ_002	A5_P0_AR_DRAFT	net_profit_current	raw_financial_inputs	direct	financial_statement_snapshot	formalizable_now	财报输入
A_REQ_002	A5_P0_AR_DRAFT	net_profit_prior	raw_financial_inputs	direct	financial_statement_snapshot	formalizable_now	财报输入
A_REQ_002	A5_P0_AR_DRAFT	shareholders_equity_current	raw_financial_inputs	direct	financial_statement_snapshot	formalizable_now	财报输入
A_REQ_002	A5_P0_AR_DRAFT	shareholders_equity_prior	raw_financial_inputs	direct	financial_statement_snapshot	formalizable_now	财报输入
A_REQ_002	A5_P0_AR_DRAFT	total_assets	raw_financial_inputs	direct	balance_sheet_snapshot	formalizable_now	财报输入
A_REQ_002	A5_P0_AR_DRAFT	total_liabilities	raw_financial_inputs	direct	balance_sheet_snapshot	formalizable_now	财报输入
A_REQ_002	A5_P0_AR_DRAFT	operating_cashflow_net	raw_financial_inputs	direct	cashflow_statement_snapshot	formalizable_now	财报输入
A_REQ_002	A5_P0_AR_DRAFT	price_per_share	raw_financial_inputs	direct	price_snapshot	formalizable_now	估值输入
A_REQ_002	A5_P0_AR_DRAFT	market_cap	raw_financial_inputs	direct	price_snapshot_plus_share_count	formalizable_now	估值输入
A_REQ_002	A5_P0_AR_DRAFT	eps_ttm	raw_financial_inputs	direct	report_or_ttm_aggregation	formalizable_now	估值输入
A_REQ_002	A5_P0_AR_DRAFT	revenue_ttm	raw_financial_inputs	direct	report_or_ttm_aggregation	formalizable_now	估值输入
A_REQ_002	A5_P0_AR_DRAFT	book_value_per_share_or_net_asset	raw_financial_inputs	direct	balance_sheet_snapshot	formalizable_now	估值输入
A_REQ_002	A5_P0_AR_DRAFT	value_pe_ttm	valuation_factor_outputs	direct	price_per_share_or_market_cap_div_eps_ttm	formalizable_now	已有明确公式
A_REQ_002	A5_P0_AR_DRAFT	value_pb_lf	valuation_factor_outputs	direct	price_or_market_cap_div_book_value	formalizable_now	已有明确公式
A_REQ_002	A5_P0_AR_DRAFT	value_ps_ttm	valuation_factor_outputs	direct	market_cap_div_revenue_ttm	formalizable_now	已有明确公式
A_REQ_002	A5_P0_AR_DRAFT	quality_roe_avg	valuation_factor_outputs	direct	net_profit_div_average_equity	formalizable_now	缺平均权益时可降级
