paper_id	repo_final_tick	external_final_tick	current_total_decision	delete_prereq	source_path_before	repo_staging_path_after
A-001	WAIT_PATH_CHECK	MOVE_READY_NOT_DELETE	MOVE_READY_NOT_DELETE	check_repo_refs_then_move_not_delete	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之一：——利用债券YTM打造行业风格导航仪.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之一：——利用债券YTM打造行业风格导航仪.pdf
A-002	WAIT_PATH_CHECK	MOVE_READY_NOT_DELETE	MOVE_READY_NOT_DELETE	check_repo_refs_then_move_not_delete	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之二——强弱趋势捕捉组合投资机会.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之二——强弱趋势捕捉组合投资机会.pdf
A-003	WAIT_PATH_CHECK	MOVE_READY_NOT_DELETE	MOVE_READY_NOT_DELETE	check_repo_refs_then_move_not_delete	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之三：——基于涨跌比择时的绝对收益动量策略.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之三：——基于涨跌比择时的绝对收益动量策略.pdf
A-004	WAIT_PATH_CHECK	MOVE_READY_NOT_DELETE	MOVE_READY_NOT_DELETE	check_repo_refs_then_move_not_delete	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之四：——基于残差动量的相对收益动量策略.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之四：——基于残差动量的相对收益动量策略.pdf
A-005	WAIT_PATH_CHECK	MOVE_READY_NOT_DELETE	MOVE_READY_NOT_DELETE	check_repo_refs_then_move_not_delete	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\基于涨跌比的行业轮动与择时研究.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业轮动模型\基于涨跌比的行业轮动与择时研究.pdf
A-006	WAIT_PATH_CHECK	MOVE_READY_NOT_DELETE	MOVE_READY_NOT_DELETE	check_repo_refs_then_move_not_delete	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\妙用涨跌比，小盘指数巧择时.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业轮动模型\妙用涨跌比，小盘指数巧择时.pdf
A-007	WAIT_PATH_CHECK	MOVE_READY_NOT_DELETE	MOVE_READY_NOT_DELETE	check_repo_refs_then_move_not_delete	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\基于板块效应动量反转特征的alpha策略研究.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业轮动模型\基于板块效应动量反转特征的alpha策略研究.pdf
A-008	WAIT_PATH_CHECK	MOVE_READY_NOT_DELETE	MOVE_READY_NOT_DELETE	check_repo_refs_then_move_not_delete	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\行业动量策略进阶之一：间隔期、系统性风险及换手率的影响.pdf	d:\Stock\trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业轮动模型\行业动量策略进阶之一：间隔期、系统性风险及换手率的影响.pdf
A-009	WAIT_PATH_CHECK	MOVE_READY_NOT_DELETE	MOVE_READY_NOT_DELETE	check_repo_refs_then_move_not_delete	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\板块持仓测算在创业板风格轮动中的应用.pdf	d:\Stock\trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业轮动模型\板块持仓测算在创业板风格轮动中的应用.pdf
A-010	WAIT_PATH_CHECK	MOVE_READY_NOT_DELETE	MOVE_READY_NOT_DELETE	check_repo_refs_then_move_not_delete	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\海通AK行业轮动策略——结构性行情必杀技.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业轮动模型\海通AK行业轮动策略——结构性行情必杀技.pdf
