paper_id	title_anchor	match_count	best_match_path	best_match_name	status
T-001	"度量市场""恐惧与贪婪""的量化择时指标"	1	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化择时 3份\度量市场“恐惧与贪婪”的量化择时指标.pdf	度量市场“恐惧与贪婪”的量化择时指标.pdf	BOOKDIR_EXACT_PATH_CONFIRMED
T-002	通过产业资本增减持数据构建的量化择时指标	1	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化择时 3份\通过产业资本增减持数据构建的量化择时指标.pdf	通过产业资本增减持数据构建的量化择时指标.pdf	BOOKDIR_EXACT_PATH_CONFIRMED
T-003	"量化择时——度量市场""恐惧与贪婪""的量化择时指标"	1	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化择时 3份\量化择时——度量市场“恐惧与贪婪”的量化择时指标.pdf	量化择时——度量市场“恐惧与贪婪”的量化择时指标.pdf	BOOKDIR_EXACT_PATH_CONFIRMED
A-001	华夏上证行业ETF风格轮动策略之一：利用债券YTM打造行业风格导航仪	1	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之一：——利用债券YTM打造行业风格导航仪.pdf	华夏上证行业ETF风格轮动策略之一：——利用债券YTM打造行业风格导航仪.pdf	BOOKDIR_EXACT_PATH_CONFIRMED
A-002	华夏上证行业ETF风格轮动策略之二：强弱趋势捕捉组合投资机会	1	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之二——强弱趋势捕捉组合投资机会.pdf	华夏上证行业ETF风格轮动策略之二——强弱趋势捕捉组合投资机会.pdf	BOOKDIR_EXACT_PATH_CONFIRMED
A-003	华夏上证行业ETF风格轮动策略之三：基于涨跌比择时的绝对收益动量策略	1	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之三：——基于涨跌比择时的绝对收益动量策略.pdf	华夏上证行业ETF风格轮动策略之三：——基于涨跌比择时的绝对收益动量策略.pdf	BOOKDIR_EXACT_PATH_CONFIRMED
A-004	华夏上证行业ETF风格轮动策略之四：基于残差动量的相对收益动量策略	1	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之四：——基于残差动量的相对收益动量策略.pdf	华夏上证行业ETF风格轮动策略之四：——基于残差动量的相对收益动量策略.pdf	BOOKDIR_EXACT_PATH_CONFIRMED
A-005	基于涨跌比的行业轮动与择时研究	1	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\基于涨跌比的行业轮动与择时研究.pdf	基于涨跌比的行业轮动与择时研究.pdf	BOOKDIR_EXACT_PATH_CONFIRMED
A-006	妙用涨跌比，小盘指数巧择时	1	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\妙用涨跌比，小盘指数巧择时.pdf	妙用涨跌比，小盘指数巧择时.pdf	BOOKDIR_EXACT_PATH_CONFIRMED
A-007	基于板块效应动量反转特征的alpha策略研究	1	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\基于板块效应动量反转特征的alpha策略研究.pdf	基于板块效应动量反转特征的alpha策略研究.pdf	BOOKDIR_EXACT_PATH_CONFIRMED
